site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,GPP_Rhat,ER_Rhat,K600_Rhat,msgs.fit,warnings,errors,DO_fit
DL,2021-07-19,9.861738860977365,8.182148986571036,11.534500220989683,-11.411757647058199,-13.530622961772723,-9.300584966986792,12.955549716179728,10.596878588018706,15.236671169049783,1.0008413122742945,1.0001035096718398,1.0011011455108285,w      ,,,NA
DL,2021-07-20,10.79618164584967,8.78645226980982,12.710199601678573,-9.91166095789455,-11.904775200422996,-7.913063922500761,13.410578163686765,10.968746254915715,15.780721298043433,1.0243463423277412,1.0229314063773884,1.0238558069052597,w      ,,,NA
DL,2021-07-21,10.075135028949862,8.512865364353837,11.600002261203844,-9.214851018151943,-10.803449471054247,-7.609834946018402,10.907775472814663,9.12616513724479,12.63790245074961,1.0108104582094628,1.0107219471244995,1.0109784415535772,w      ,,,NA
DL,2021-07-22,11.00080203014285,9.378927138478675,12.586853306881734,-9.767077353941653,-11.36505818878464,-8.117273028893253,10.384147038140142,8.745425691028476,11.977125205378865,1.0034358679731679,1.003060596234026,1.0028440134073304,w      ,,,NA
DL,2021-07-23,9.10657961659118,7.770824881449557,10.633055472289268,-9.677661033534555,-11.454894109784572,-8.123491849208394,9.154787757335303,7.711632428876116,10.729356142336314,1.0066724785146677,1.0059283509343633,1.005323201010723,w      ,,,NA
DL,2021-07-24,7.964574582834188,6.55466272421826,9.469653558898832,-8.406377347059014,-10.187160018994557,-6.7413320940414,9.268464673666596,7.640644388477489,11.028515393049727,1.0140394442455238,1.0143794515543092,1.0160484748922423,w      ,,,NA
DL,2021-07-25,7.214886642658394,5.907906262273749,8.522111006868975,-7.998408880364519,-9.678278314245636,-6.3519569355439485,8.99531470128176,7.3743815973370035,10.680804565170854,1.021207058399577,1.0181830292898615,1.0200499544954458,w      ,,,NA
DL,2021-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
