site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,light,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q
GC,2020-08-09,10.383556284102266,9.40786823821679,11.332359759023074,-7.926882506165339,-8.852744800638357,-6.943480212247139,9.340647274087422,8.380673192638133,10.310532988405074,0.6836749344959667,10.506938544321722,11.293516937522792,91.824922366682,25.99811646744273,147.97578021538047,2.261205688964648,13.228507706961512,4.9345780419939365,25.170896816563637,2.35203585266714
GC,2020-08-10,11.047384704249325,10.094266892860862,12.046319174648652,-7.94376643349371,-8.897348002003762,-6.99184126674131,9.72168047383554,8.82065765093085,10.670831834932862,0.8107725843302088,10.082129708297932,11.279930909801118,91.03528593525144,25.870346157118817,148.4767129699826,2.2652229548784524,13.129810976233804,4.945029585348101,25.37423602795495,2.3107645209117353
GC,2020-08-11,12.124113716882492,10.986084750142968,13.130405671556185,-8.539593091926339,-9.508583374348143,-7.5103398014605824,9.905888431918104,8.946587189749364,10.801240967502295,0.8181109570226062,10.025488530161429,11.29024333422566,90.2401006846919,25.763272858435673,149.19439849310157,2.27116410297922,13.04236165938976,4.959151621644368,25.594646087669243,2.3051307031934796
GC,2020-08-12,14.613103938249388,13.328677131819072,15.96158105226702,-9.939161496583424,-11.076521221383542,-8.843336259892707,14.700031717327068,13.33556004179534,16.121477137595257,0.6837594081622249,9.770603228547154,11.322238719471676,89.439474162495,25.67767818778103,150.0822086393538,2.2788834666516973,12.965801112247426,4.976594326418038,25.830947376823605,2.2793782070910646
GC,2020-08-13,11.058399982052444,9.970918066215232,12.154797973861708,-7.610036892757481,-8.603413588269218,-6.638858660051828,11.163920004501636,9.986021306730288,12.35066584810388,0.7363037525271295,9.770603228547154,11.373504046879646,88.63354188443785,25.614279327407505,151.0927596758098,2.2880863238037854,12.89970545291056,4.996801021342071,26.084357038378748,2.2793782070910646
GC,2020-08-14,11.450083681679054,10.476846799408078,12.49291734110824,-7.671411834966621,-8.630576227788515,-6.7083240403587725,10.702597319629454,9.744976518604656,11.677014177603336,0.817352417978656,9.7422826394789,11.441626297790036,87.82243936629743,25.573793459567757,152.1786678695392,2.2982934598420375,12.843564830907026,5.018946778989955,26.35637718747667,2.276475447433103
GC,2020-08-15,12.457173166742734,11.439806288389445,13.432727013958845,-8.738046268984316,-9.682663428346752,-7.745204424873519,10.453553181917478,9.568160553107695,11.353974864800362,0.807582779883052,9.572359105069385,11.524192453543336,87.00630212385082,25.55693776651444,153.29254948761275,2.308889623594396,12.796801478516372,5.042004653969417,26.64896989698098,2.258879685542724
GC,2020-08-16,14.130098940346294,12.991567319096328,15.243381759614945,-10.043583955639562,-11.047724285503284,-8.993451905546445,11.190036290084937,10.225055152256346,12.099114409825928,0.7601910828809806,9.28915321438686,11.618789495479998,86.18526567287505,25.564429430500184,154.38702079710058,2.3192005473040465,12.758800437591386,5.064853920256031,26.965202936853515,2.2288473984438486
GC,2020-08-17,14.247482542293294,13.046531355571162,15.41827090910684,-10.314103279392048,-11.330728275148235,-9.250512222113093,11.997167494770936,10.909028384885744,12.992610238624252,0.7727806145003605,8.949306145567828,11.72305419085698,85.3594838175975,25.596929661369455,155.41801774041684,2.328657011445567,12.728982496217098,5.086522141545809,27.311125562501783,2.191576003646617
GC,2020-08-18,9.445996559367323,8.496743146913545,10.445497153345762,-8.22504940551594,-9.32023866380254,-7.151351279962228,8.94997871038156,7.894412257268864,9.97962861954664,0.7610461632577971,8.581138487680542,11.83490397513306,84.5291980192577,25.65482256830804,156.35790610564237,2.3371353501769017,12.706963662726729,5.1067096455409775,27.69818003687175,2.149566595569074
