date,site,sample,average.depth,cobble,sand,gravel,pebble,cpom.om.area.g.m2,epil.om.area.g.m2,epip.om.area.g.m2,fbom.area.g.m2,fila.om.area.g.m2,macro.om.area.g.m2,epil.chla.mg.m2.ritchie,epip.chla.mg.m2.ritchie,fbom.chla.mg.m2.ritchie,fila.chla.mg.m2.ritchie,total.chla.mg.m2.ritchie,phicocyanin.mg.m2,epip.phicocyanin.mg.m2,fbom.phicocyanin.mg.m2,total.algal.biomass.g.m2,year
2021-07-20,DL,2,20.375,1,0,0,0,NA,2.739394515,NA,5.32e-8,NA,NA,10.96684918,NA,17.64803038,NA,28.61487955,8.295349588,NA,30.786625,2.74,2021
2021-07-20,DL,3,6.375,1,0,0,0,NA,10.34901859,NA,3.29e-8,NA,NA,14.33603324,NA,7.869508125,NA,22.20554137,10.19801867,NA,13.980375,10.3,2021
2021-07-20,DL,4,26.25,1,0,0,0,NA,5.598045642,NA,1.67e-7,NA,NA,9.767667745,NA,44.66591719,NA,54.43358493,11.11167631,NA,49.37625,5.6,2021
2021-07-20,DL,5,35.125,1,0,0,0,NA,7.766879114,NA,5.97e-8,NA,NA,19.10561826,NA,13.07859276,NA,32.18421102,13.84206812,NA,43.62525,7.77,2021
2021-08-03,DL,1,3.4375,1,0,0,0,NA,9.885437741,NA,1.72e-8,NA,1.12676408,26.44828316,NA,4.742177527,NA,31.19046069,14.85937378,NA,6.5621875,9.89,2021
2021-08-03,DL,2,5.75,1,0,0,0,NA,7.598516839,NA,2.55e-8,NA,1.071820237,36.60725237,NA,3.510592952,NA,40.11784533,12.11845933,NA,7.49225,7.6,2021
2021-08-03,DL,3,3.6875,1,0,0,0,NA,8.046313723,NA,2.25e-8,NA,NA,34.74157395,NA,6.291467049,NA,41.033041,9.971372652,NA,6.18025,8.05,2021
2021-08-03,DL,4,3.4375,1,0,0,0,NA,7.510828154,NA,2.42e-8,NA,NA,33.01770345,NA,5.206991342,NA,38.2246948,9.789798615,NA,6.1428125,7.51,2021
2021-08-03,DL,5,8.625,1,0,0,0,NA,8.022930074,NA,2.24e-8,NA,NA,41.18047188,NA,5.9280154,NA,47.10848728,17.12980921,NA,14.19675,8.02,2021
2021-08-17,DL,1,9.375,1,0,0,0,NA,5.143233663,NA,9.17e-9,NA,NA,8.271414365,NA,3.245990824,NA,11.51740519,11.810029,NA,5.7890625,5.14,2021
2021-08-17,DL,2,20.625,1,0,0,0,NA,9.94681982,NA,1.01e-7,NA,NA,35.50701618,NA,26.76811299,NA,62.27512917,32.84391383,NA,24.151875,9.95,2021
2021-08-17,DL,3,21,1,0,0,0,NA,9.470377966,NA,1.43e-7,NA,NA,5.779089016,NA,33.452706,NA,39.23179502,4.522105479,NA,36.162,9.47,2021
2021-08-17,DL,4,36.125,1,0,0,0,NA,9.712398736,NA,1.39e-7,NA,NA,28.25960757,NA,55.71004833,NA,83.9696559,15.80886686,NA,58.125125,9.71,2021
2021-08-17,DL,5,37.625,1,0,0,0,1.889590037,4.195026684,NA,1.27e-7,NA,NA,21.5899767,NA,40.24890593,NA,61.83888263,18.08298522,NA,36.0297,4.2,2021
2021-09-22,DL,1,16,1,0,0,0,NA,17.78326529,NA,8.04e-8,NA,NA,35.19685911,NA,12.86708565,NA,48.06394477,22.10807123,NA,11.4576,17.8,2021
2021-09-22,DL,2,13.875,1,0,0,0,NA,12.88672913,NA,5.2100000000000003e-008,NA,NA,38.27884823,NA,2.919343167,NA,41.1981914,19.3416686,NA,5.303025,12.9,2021
2021-09-22,DL,3,24.25,1,0,0,0,NA,5.479958213,NA,9.15e-8,NA,NA,16.11874808,NA,7.327831423,NA,23.4465795,16.67616641,NA,10.67485,5.48,2021
2021-09-22,DL,4,27.375,1,0,0,0,NA,15.62729283,NA,9.99e-8,NA,NA,56.57562244,NA,10.02560921,NA,66.60123165,22.28567004,NA,12.4611,15.6,2021
2021-09-22,DL,5,22,1,0,0,0,NA,7.922380382,NA,NA,NA,NA,24.09523676,NA,2.573940286,NA,26.66917704,16.14313613,NA,4.7894,7.92,2021
2021-10-13,DL,1,18.5,1,0,0,0,NA,13.05392222,NA,3.38e-8,NA,NA,23.77891995,NA,5.80619725,NA,29.5851172,21.04224449,NA,6.6674,13.1,2021
2021-10-13,DL,2,16,1,0,0,0,NA,10.46885979,NA,2.67e-8,NA,NA,24.38434638,NA,3.099550222,NA,27.48389661,16.23538463,NA,4.5648,10.5,2021
2021-10-13,DL,3,12.5,1,0,0,0,NA,8.835511887,NA,8.61e-8,NA,NA,10.63327349,NA,11.43930903,NA,22.07258252,12.67838081,NA,14.975,8.84,2021
2021-10-13,DL,4,21,1,0,0,0,NA,11.88590894,NA,6.65e-8,NA,NA,15.95733561,NA,9.6319146,NA,25.58925021,13.51574929,NA,11.5206,11.9,2021
2021-10-13,DL,5,17.75,1,0,0,0,NA,11.01019127,NA,3.25e-8,NA,NA,25.42957465,NA,3.674222908,NA,29.10379756,13.29769676,NA,22.294,11,2021
2020-07-21,GC,1,25.75,1,0,0,0,41.30721648,20.61034849,1.997631754,3.24e-6,64.93288655,NA,39.59248735,2.46190485,6.68511083,365.1133866,413.8528896,4.996337578,0.97519171,12.566,87.5,2020
2020-07-21,GC,5,32.75,1,0,0,0,43.56373864,15.15260474,5.350178959,2.85e-7,115.749064,NA,42.89419976,7.391866224,3.798695893,145.9601196,200.0448815,6.678089636,1.036597173,5.904825,136,2020
2020-07-21,GC,2,35.25,1,0,0,0,NA,41.36567561,5.153756305,5e-7,188.2383768,NA,86.41503041,13.85342613,6.771820793,173.7529056,280.7931829,5.74643828,0.390939541,12.5913,235,2020
2020-07-21,GC,3,21.5,1,0,0,0,NA,35.06670508,0.531978022,4.66e-8,52.61321092,NA,25.27911938,0.421993039,1.138763267,0.024417944,26.86429363,6.070687653,0.186028622,0,88.2,2020
2020-07-21,GC,4,32.5,1,0,0,0,NA,7.365849529,1.761373383,2.15e-7,22.33138508,NA,13.71951593,0.825433888,2.8901925,49.27528502,66.71042735,3.261598171,0.374056546,0,31.5,2020
